City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
taltal,58,CL,1562276260,76,-25.41,-70.49,56.08,3.18
mandurah,75,AU,1562276165,93,-32.55,115.7,50,14.99
rikitea,99,PF,1562276260,67,-23.12,-134.97,66.81,23.11
mount gambier,0,AU,1562276261,93,-37.83,140.78,42.8,8.05
elko,40,US,1562276157,21,40.83,-115.76,78.8,16.11
hermanus,100,ZA,1562276261,99,-34.42,19.24,54,3
kavieng,100,PG,1562276262,72,-2.57,150.8,83.03,10.89
sao filipe,68,CV,1562276262,86,14.9,-24.5,73.81,17.9
shingu,99,JP,1562276262,93,33.72,135.99,67.13,3.67
mataura,59,NZ,1562276263,95,-46.19,168.86,42.01,1.01
punta arenas,75,CL,1562276263,81,-53.16,-70.91,37.4,11.41
kurilsk,100,RU,1562276263,96,45.23,147.88,50.36,12.3
marion,40,US,1562276264,59,37.73,-88.93,91.99,11.41
tazovskiy,100,RU,1562276264,64,67.47,78.7,58.69,10.87
ushuaia,0,AR,1562276093,86,-54.81,-68.31,28.4,5.14
urubicha,59,BO,1562276265,86,-15.63,-63.08,78.02,2.35
jamestown,0,AU,1562276265,76,-33.21,138.6,51.33,15.28
saint-georges,14,CA,1562276265,49,46.12,-70.67,87.01,4
vozrozhdeniye,0,RU,1562276265,66,60.86,28.96,55.99,4.7
araceli,42,PH,1562276266,90,10.55,119.99,75.02,1.68
yellowknife,20,CA,1562276267,35,62.45,-114.38,71.6,3.36
kampot,40,KH,1562276267,94,10.62,104.18,77,2.24
porosozero,26,RU,1562276268,74,62.72,32.71,49.19,4.97
batsfjord,90,NO,1562276268,87,70.63,29.72,48.2,5.82
asyut,0,EG,1562276268,31,27.18,31.19,87.8,12.75
hobart,75,AU,1562276234,93,-42.88,147.33,39.99,6.93
itarema,10,BR,1562276269,82,-2.92,-39.92,77.3,8.93
corrales,74,CO,1562276270,64,5.83,-72.84,60.26,2.82
bluff,100,AU,1562276270,81,-23.58,149.07,59.79,25.14
